number,title,authors,source_venue,track,openreview_submission_number,decision,archival_status,paper_type,aclpubcheck_status,aclpubcheck_summary,openreview_url,pdf_path,supplementary_files,aclpubcheck_pdf_sha256,checked_at_utc
033,A Randomization-Control Diagnostic for Document Grounding in Self-Distillation Gates,Xiankun Lin; Lixin Liu; Xinyi Lin; Zhezheng Hao,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,54,Findings,archival,short,pending,Not run,https://openreview.net/forum?id=Y90brPmLZL,all_papers/033/paper.pdf,all_papers/033/supplementary/Supplementary_material.zip,,
034,Safe Adaptive Context and TACER: Task-Aware Evidence Routing for Token-Efficient Retrieval-Augmented Generation,Joel Vazquez Lopez; Andreia Alexa; Kārlis Mārtiņš Auce; Simon Backhaus Brudzewski; Sheraz Ahmad,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,55,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=0yHO3S4Evp,all_papers/034/paper.pdf,all_papers/034/supplementary/Supplementary_material.zip,,
035,When Should an Agent Distrust Its Own Context? Model-Dependent Outcomes of an Audited Reasoning Pipeline,Aditya Channa; Madhav Kapoor; Jastej Singh,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,57,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=kNk6XTSYFU,all_papers/035/paper.pdf,,,
036,What Does Answer Change Rate Actually Measure? A Specificity Audit of Causal Intervention Tests for Explanation Faithfulness,Durgesh Rao; Dr. Shirshendu Layek,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,58,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=J77Co5444D,all_papers/036/paper.pdf,all_papers/036/supplementary/Supplementary_material.zip,,
037,Gradient-Aligned Iterative Fine-Tuning for Adaptive LLM Post-Training,Zhan Shi,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,59,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=1XxmanVOUQ,all_papers/037/paper.pdf,,,
038,Geometry-Conditioned Turn Scoring for Conversational Memory Compression,Pranav Kompally; Sibi Chakkaravarthy S,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,61,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=XqFFt1fHk2,all_papers/038/paper.pdf,,,
039,Faithfulness Is Not Free: Auditing Offline KV-Cache Quantization in Retrieval-Augmented Generation,ATTA UL ASAD; Ahsan Bilal; Muhammad Ali; Muhammad Haseeb; Dean F. Hougen,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,62,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=qu9ZxcS4zN,all_papers/039/paper.pdf,,,
040,Cross-Modal Grounding for Calibrated Confidence in Vision Language Models,Trilok Padhi; Ramneet Kaur; Adam D. Cobb; Manoj Acharya; Colin Samplawski; Brian Matejek; Alexander Michael Berenbeim; Nathaniel D. Bastian; Susmit Jha; Ugur Kursuncu; Anirban Roy,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,63,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=fp859JJsYP,all_papers/040/paper.pdf,,,
041,Lost In Translation: Uneven Grounding Degradation Under Cross-Lingual Shift in LLM-Assisted Cyber Threat Intelligence,Lailah Denny,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,64,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=7ctZGcUCET,all_papers/041/paper.pdf,,,
042,RuleChef: Grounding LLM Task Knowledge in Human-Editable Rules,Ádám Kovács; Nadia Verdha; Gabor Recski,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,65,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=E0BNcb7ppW,all_papers/042/paper.pdf,,,
043,Compression-Aware Abstention: Teaching LLMs to Refuse When KV-Compression Masks Remove Answer Evidence,Mohammadali Khodabandehlou; Bhaskar Krishnamachari,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,66,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=1GompIHuUR,all_papers/043/paper.pdf,,,
044,Eval-Pair Matrix: Answer-Paired Meta-Evaluation of LLM Judges for Grounded RAG,Sriram Selvam; Anneswa Ghosh,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,68,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=gniqmlDzQg,all_papers/044/paper.pdf,,,
045,"Beyond Document Grounding: Span-Level Hallucination Detection over Code, Tool Output, and Documents",Ádám Kovács; Bowei He; Xue Liu; István Boros; Szilveszter Tóth; Gabor Recski,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,70,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=yW7LIRvTdh,all_papers/045/paper.pdf,,,
046,Does Retrieval Augmented Generation Collapse When It Retrieves AI-Generated Documents?,Riddhimaan Senapati; Gregory Druck; Chang Zeng; Fabeha Fatima; Rati Rastogi; Ozel Yilmazel,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,71,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=JHwIkYmtxb,all_papers/046/paper.pdf,,,
047,"Similar Accuracy, Unequal Evidence: Search APIs as Decision Surfaces for Tool-Using Agents",Sriram Selvam; Anneswa Ghosh,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,72,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=fOrElxUzY8,all_papers/047/paper.pdf,,,
048,Latent Truth Decoding: Training Free Mitigation of Sycophancy in Small Language Models,Srutanik Bhaduri; Neelesh Kumar Shukla; Viji Krishnamurthy,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,73,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=2RoOd9mbFs,all_papers/048/paper.pdf,all_papers/048/supplementary/Supplementary_material.zip,,
049,"Stable Scores, Failed Retrieval: Diagnosing RAG Evaluation in Low-Resource Indic Languages",Priyanshi Garg; Jasmin Gustafson; Yingzhe Fan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,74,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=IBbDw0EX5m,all_papers/049/paper.pdf,,,
050,Skip One Layer? A Multilingual and Multi-Task Study of Single-Layer Skipping in Modern Language Models,Ayu Purwarianti; Antonio Natthan Krishna; Muhammad Risqi Firdaus; Hanif Muhammad Zhafran; Wilson Tansil; Achmad Imam Kistijantoro; Nur Ahmadi; Rahmat Mulyawan; Dessi Puji Lestari; Gregory Kielian,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,75,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=fXDVmYkmvy,all_papers/050/paper.pdf,,,
051,Quality-Aware LLM Data Augmentation for Arabic Dialectal NER,Kahina Houda SAADAOUI; Chaima Abdelaziz; Faiza BELBACHIR; Lynda Said Lhadj,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,76,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=WUKsw6pasc,all_papers/051/paper.pdf,,,
052,Robustness of Diffusion and Autoregressive Language Models to CheckList-Style Perturbations,Aarush Rathore; Tirtharaj Dash; Lovekesh Vig; Ashwin Srinivasan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,77,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=UYuYrUrtUw,all_papers/052/paper.pdf,all_papers/052/supplementary/Supplementary_material.zip,,
053,DTS: Discriminant Truthfulness Scoring for Gradient-Free Hallucination Detection,Kaustubh Atey; Shreeyam Bangera; Sandeep Kumar; ANKIT KUMAR; Amit Sethi,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,80,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=GkNlyaSkdS,all_papers/053/paper.pdf,,,
054,Reset Is Not Recovery: Evaluating Recoverability from False Conversational Context via Sycophancy Hysteresis,Adi Shnaidman,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,82,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=gKvFuWRjo9,all_papers/054/paper.pdf,,,
055,Groundedness Is Not Truth: Evidence-Chain Forensics for Retrieval-Augmented Generation,Samarth Vinayaka,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,83,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=O3gCYanCHN,all_papers/055/paper.pdf,,,
056,Human-Perception-Aware but Not Yet Physically Grounded: Strengths and Failure Modes of Frontier Multimodal LLMs and the GroundVQA Benchmark,Qinwu Xu; Xin Liu; Yifan Jiang,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,84,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=sDS62chFOI,all_papers/056/paper.pdf,,,
057,"Polite on the Surface, Broken in Practice: A Curated Dataset for Fixing Generation and Register Failures in Low-Resource Bangla Text Generation",Md. Asaduzzaman Shuvo; Mahedi Hasan; Md. Tashin Parvez; Azizul Haque Noman; Md. Shafayet Hossain Ovi,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,86,Findings,archival,long,pending,Not run,https://openreview.net/forum?id=ZFjB15YYDC,all_papers/057/paper.pdf,,,
058,"Retrieve, Locate, Generate: An Oracle-Substitution Diagnostic for Literature-Grounded QA",Siddhesh More; Kunal Jadhav,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,87,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=1L0wPPDEyh,all_papers/058/paper.pdf,,,
059,CITECHECK: Retrieval-Grounded Detection of LLM Citation Hallucinations in Scientific Text,Khashayar Khajavi; Shaghayegh Sadeghi; Rise Adhikari; Alexander Tessier,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,88,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=sOnBJ23mc8,all_papers/059/paper.pdf,,,
060,GRACE: Generating Conflict-Aware Cases for Evaluating Policy Compliance in Enterprise Conversational AI,Jinwon Kim; Kyunghyun Lim; Gayeon Kim; Sookeun Yun; Min-Oh Heo,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,90,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=IJonLABNmk,all_papers/060/paper.pdf,,,
061,StreamSense: A Content- and Resource-Aware Edge Agent for Adaptive Bitrate Streaming,Chuanqi Jiang; Linhan Li; Zhiguo Tao,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,91,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=W10I1PUXWq,all_papers/061/paper.pdf,,,
062,From Position Bias to Position-Stable Agreement: Testing What LLM Judges Evaluate,Lixin Liu; Xiankun Lin; Zhezheng Hao,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,93,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=KpeFfsulxk,all_papers/062/paper.pdf,all_papers/062/supplementary/Supplementary_material.zip,,
063,Preserving Evidence Anchors: Query-Rewriting Guardrails for Retrieval-Side Grounding,Varun Kotte; Chirag Arora,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,96,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=IvEoe3m7rm,all_papers/063/paper.pdf,all_papers/063/supplementary/Supplementary_material.zip,,
064,"Grounding Creative Query Suggestions, Faithfully and Efficiently: From Corpus-Grounded Supervision to Reinforcement Learning",Harshit Jain; Vedanth Subramaniam; Twisha Naik; Chirag Arora; Vipul Jain,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,97,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=EU8iYRGeVx,all_papers/064/paper.pdf,all_papers/064/supplementary/Supplementary_material.pdf,,
065,The Coin Flip Judge? Reliability and Bias in LLM-as-a-Judge Evaluation,Abel Yagubyan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,98,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=bAABRmjFLs,all_papers/065/paper.pdf,all_papers/065/supplementary/Supplementary_material.zip,,
066,The Attribution–Compression Frontier in Retrieval-Augmented Generation,Deepanshu Mody,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,99,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=u6OeYQrjjF,all_papers/066/paper.pdf,,,
067,"Budget-Aware Compression Pipeline for Single-GPU LLM Inference: Methods, Trade-offs, and Coupling Effects",Hongyu Yu; Yifei Shen,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,2,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=47Ey91RdfD,all_papers/067/paper.pdf,,,
068,Leveraging Low-Level Symbolic Competences for Unsupervised Grounding in Hallucination Detection,Renato Vukovic; Hsien-chin Lin; Carel van Niekerk; Benjamin Matthias Ruppik; Michael Heck; Shutong Feng; Nurul Lubis; Milica Gasic,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,3,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=SSC0iDDG83,all_papers/068/paper.pdf,,,
069,The Coverage Illusion: From Pre-retrieval Routing Failure to Post-retrieval Cascades in a Production RAG System,Zafar Hussain; Kristoffer Nielbo,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,4,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=iUcomsGGnz,all_papers/069/paper.pdf,,,
070,When Models Defer to Wrong Answers: A Robustness Audit of Source-Attributed Cues in Multiple-Choice QA,Manikandan Ravikiran; Siddharth Vohra,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,7,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=2tSkWhDBrE,all_papers/070/paper.pdf,,,
071,Does the Selected Object Reach the Reader? Auditing Identity Handoffs in Grounded Language-Model Pipelines,Siddharth Vohra; Runmin Jiang; Xiaomo Li; Min Xu,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,8,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=hSlA52KOs0,all_papers/071/paper.pdf,,,
072,Learning from Dialogue Traces: Retrieval-Guided Tool Use and Response Generation for Task-Oriented Dialogue Agents,Wiradee Imrattanatrai; Ken Fukuda; Masahiro Hamasaki,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,14,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=auSIhprluC,all_papers/072/paper.pdf,all_papers/072/supplementary/Supplementary_material.zip,,
073,Enhancing Small Language Models in RAG via Triplet-Guided In-Context Distillation,Ilia Tambovtsev; Maria Molchanova; Anna Mikhailova; Alexey Korotkov; Ivan Sgibnev; Iurii Vizilter; Andrey Savchenko,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,15,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=gBTqAG8sQw,all_papers/073/paper.pdf,,,
074,Why Your Deep Research Agent Fails? On Hallucination Evaluation in Full Research Trajectory,Yuhao Zhan; Tianyu Fan; Lingxuan Huang; Zirui Guo; Chao Huang,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,16,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=H9ciSraR2I,all_papers/074/paper.pdf,all_papers/074/supplementary/Supplementary_material.zip,,
075,A Modular Approach to Conversational Object Grounding in 3D Scenes Using VLMs and Prompt Chaining,Simon Keizer; Mohan Li; Youmna Farag; Svetlana Stoyanchev; Rama Doddipatla,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,18,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=O0PnzSpfIT,all_papers/075/paper.pdf,,,
076,BAND: Bias-Aware Retrieval Debiasing for Demographic Robustness in Retrieval-Augmented Medical Question Answering,Harim Lee; DASOM LEE; Chaehyun Ryu,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,23,Accept,archival,short,pending,Not run,https://openreview.net/forum?id=NDxQ0ZpjFP,all_papers/076/paper.pdf,,,
077,Agents Out of Bounds: A Taxonomy of Architectural Drift and a Deployment-Ready Guardrail Framework for LLM Coding Agents,Saurabh Yergattikar,EMNLP/2026/Workshop/GroundLM_ARR_Commitment,Track 2: ARR Commitment,24,Accept,archival,long,pending,Not run,https://openreview.net/forum?id=wv9GCr1SyG,all_papers/077/paper.pdf,all_papers/077/supplementary/Supplementary_material.zip,,
